transaction_id,transaction_date,customer_id,product_id,product_name,category,subcategory,region,quantity,unit_price,discount_pct,revenue,cost,profit,sales_channel,payment_method,customer_segment
TXN-000001,2025-07-08,CUST-00326,PROD-0009,Wireless Mouse,Electronics,Accessories,Middle East & Africa,1,3123.58,0.0,3123.58,2028.33,1095.25,Reseller,Credit Card,Government
TXN-000002,2025-05-11,CUST-00309,PROD-0055,Backup Appliance,Hardware,Storage,Europe,3,9675.05,0.0,29025.14,15687.48,13337.66,Partner,Net 30,Mid-Market
TXN-000003,2025-11-15,CUST-00362,PROD-0035,Security Audit,Services,Consulting,Middle East & Africa,2,11008.16,0.0,22016.32,9432.88,12583.44,Reseller,Net 60,SMB
TXN-000004,2024-06-14,CUST-00325,PROD-0052,GPU Server,Hardware,Servers,Middle East & Africa,1,5347.65,0.0,5347.65,4127.55,1220.1,Direct,Wire Transfer,Mid-Market
TXN-000005,2025-11-25,CUST-00311,PROD-0019,DevOps Tools,Software,Licenses,Latin America,2,2675.3,0.0,5350.6,1895.02,3455.58,Reseller,Wire Transfer,Enterprise
TXN-000006,2024-11-25,CUST-00218,PROD-0068,Batch Processing,Cloud Infrastructure,Compute,Middle East & Africa,1,6604.95,0.0,6604.95,2749.55,3855.4,Reseller,Purchase Order,SMB
TXN-000007,2025-12-25,CUST-00387,PROD-0043,Integration Setup,Services,Implementation,Latin America,8,11312.94,5.0,85978.35,46964.96,39013.39,Direct,Credit Card,Government
TXN-000008,2025-09-16,CUST-00270,PROD-0072,CDN Distribution,Cloud Infrastructure,Cloud Storage,Middle East & Africa,4,15757.41,20.0,50423.72,29968.32,20455.4,Reseller,Credit Card,Startup
TXN-000009,2023-08-09,CUST-00126,PROD-0053,NAS 8-Bay,Hardware,Storage,Latin America,4,672.72,0.0,2690.87,1275.52,1415.35,Partner,Purchase Order,SMB
TXN-000010,2023-11-01,CUST-00382,PROD-0079,AutoML Pipeline,Cloud Infrastructure,AI/ML Services,North America,5,7799.88,25.0,29249.55,14771.55,14478.0,Online,Credit Card,SMB
TXN-000011,2025-10-20,CUST-00474,PROD-0064,GPU Tesla,Hardware,Components,North America,8,6460.27,0.0,51682.17,29230.64,22451.53,Direct,Net 30,SMB
TXN-000012,2025-09-15,CUST-00022,PROD-0046,App Monitoring,Services,Managed Services,North America,4,3265.91,15.0,11104.1,3714.2,7389.9,Direct,Purchase Order,Enterprise
TXN-000013,2025-05-05,CUST-00242,PROD-0037,Admin Training,Services,Training,Europe,1,7538.39,15.0,6407.63,5900.81,506.82,Partner,Net 30,SMB
TXN-000014,2023-12-11,CUST-00450,PROD-0077,Model Training,Cloud Infrastructure,AI/ML Services,Asia Pacific,4,7863.51,25.0,23590.53,25520.28,-1929.75,Reseller,Wire Transfer,Mid-Market
TXN-000015,2025-03-03,CUST-00121,PROD-0038,Developer Bootcamp,Services,Training,Asia Pacific,2,2598.16,10.0,4676.69,3134.28,1542.41,Partner,Purchase Order,
TXN-000016,2025-03-22,CUST-00087,PROD-0032,24/7 Critical,Software,Support Plans,Europe,1,8696.06,0.0,8696.06,5838.76,2857.3,Partner,Net 60,SMB
TXN-000017,2023-05-26,CUST-00021,PROD-0009,Wireless Mouse,Electronics,Accessories,Middle East & Africa,1,3275.45,0.0,3275.45,2028.33,1247.12,Reseller,Wire Transfer,Startup
TXN-000018,2023-11-25,CUST-00426,PROD-0077,Model Training,Cloud Infrastructure,AI/ML Services,Asia Pacific,2,9929.46,5.0,18865.98,12760.14,6105.84,Partner,Net 30,Government
TXN-000019,2023-10-03,CUST-00303,PROD-0002,EliteBook 840,Electronics,Laptops,Asia Pacific,6,7073.98,5.0,40321.66,23520.48,16801.18,Online,Credit Card,Enterprise
TXN-000020,2025-08-11,CUST-00334,PROD-0007,ThinkVision 24,Electronics,Monitors,Asia Pacific,8,9589.03,0.0,76712.27,34637.36,42074.91,Reseller,Wire Transfer,Mid-Market
TXN-000021,2024-08-19,CUST-00064,PROD-0077,Model Training,Cloud Infrastructure,AI/ML Services,Middle East & Africa,1,8102.47,0.0,8102.47,6380.07,1722.4,Online,Net 30,Enterprise
TXN-000022,2023-03-19,CUST-00292,PROD-0046,App Monitoring,Services,Managed Services,Asia Pacific,1,2527.82,25.0,1895.86,928.55,967.31,Partner,Wire Transfer,Startup
TXN-000023,2025-06-08,CUST-00216,PROD-0032,24/7 Critical,Software,Support Plans,North America,1,10828.22,25.0,8121.16,5838.76,2282.4,Online,Wire Transfer,Startup
TXN-000024,2024-08-11,CUST-00052,PROD-0069,S3 Bucket,Cloud Infrastructure,Cloud Storage,Latin America,1,12846.16,,12203.85,7005.76,5198.09,Reseller,Net 30,SMB
TXN-000025,2025-12-09,CUST-00214,PROD-0023,HR Suite,Software,SaaS Subscriptions,Asia Pacific,1,2304.5,15.0,1958.83,1667.81,291.02,Partner,Wire Transfer,Enterprise
TXN-000026,2025-02-16,CUST-00364,PROD-0072,CDN Distribution,Cloud Infrastructure,Cloud Storage,Middle East & Africa,1,13018.78,15.0,11065.97,7492.08,3573.89,Reseller,Net 60,Government
TXN-000027,2025-05-02,CUST-00479,PROD-0052,GPU Server,Hardware,Servers,Asia Pacific,2,5390.43,10.0,9702.77,8255.1,1447.67,Online,Purchase Order,Startup
TXN-000028,2024-05-13,CUST-00213,PROD-0048,Database Admin,Services,Managed Services,Middle East & Africa,3,9130.86,10.0,24653.33,15106.2,9547.13,Partner,Net 30,Mid-Market
TXN-000029,2025-07-03,CUST-00490,PROD-0071,Archive Storage,Cloud Infrastructure,Cloud Storage,Asia Pacific,1,5084.62,5.0,4830.39,2572.87,2257.52,Reseller,Purchase Order,Enterprise
TXN-000030,2024-06-03,CUST-00433,PROD-0014,WiFi 6E Router,Electronics,Networking,Europe,5,9395.34,10.0,42279.01,19892.75,22386.26,Partner,,Enterprise
